HopsAttacker,HopsSourceSink,NumberFakes
10.0,46,12.213422007255138
0,41,12.219512195121951
17.0,52,12.050152905198777
7.0,42,12.151515151515152
2.0,41,12.105710814094776
17.0,41,12.072151898734177
9.0,42,12.164814814814815
16.0,47,12.170447578172901
15.0,39,12.149704530531846
1.0,43,12.18726823238566
15.0,43,12.141544117647058
10.0,42,12.184615384615384
0,45,11.444444444444445
17.0,47,12.304136253041362
4.0,47,12.254757519950891
15.0,41,12.325762104004783
15.0,48,12.043505674653215
10.0,43,11.957313245448839
8.0,43,12.243124999999999
11.0,47,12.201695941853423
14.0,42,12.133742331288344
18.0,42,12.25
1.0,40,12.157520981278244
0,45,12.577777777777778
18.0,43,12.28537455410226
15.0,42,12.137409200968523
14.0,42,12.067600487210719
17.0,41,12.200743494423792
17.0,41,12.153284671532846
10.0,46,12.089382123575286
10.0,41,12.108389467238212
5.0,41,12.294307891332471
9.0,45,11.982598607888631
0,46,11.608695652173912
1.0,40,12.334167709637047
4.0,50,11.995198079231693
16.0,42,12.082070707070708
9.0,42,12.123803446075303
0,50,12.5
8.0,45,12.170915411355736
19.0,46,12.085302593659943
1.0,48,12.011072261072261
7.0,40,12.220606060606061
0,42,10.928571428571429
7.0,44,12.105947955390334
11.0,42,12.244834063869757
19.0,42,12.245387453874539
1.0,44,12.193266832917706
0,44,12.909090909090908
7.0,46,12.246162927981111
