Tsafe,0.02,0.8,1,1712,1727,1672,21,1680,1676,1698,19,1629,1743,20,1680,1758,1657,22,19,20,1726,1692,17,20,1700,22,24,1765,1696,20,23,1676,1709,1725,22,1758,24,21,20,23,22,1783,1690,21,1748,1711,21,19,1767,20,18,22,24
TR,0.02,0.8,1,176481945.9069607,57433602.172597118,218945351.93018803,91930721.265054464,116847419.4178469,71652941.625160158,68749340.186992094,19366125.462464828,681932656.03552687,1073492992.9198462,31449217.262303255,85582646.347383708,277021303.2496987,153185202.10186878,44015958.804813303,37320116.330298953,31708009.491310023,47688624.185822882,72404710.43330349,14927960.98721673,25580735.701706301,91583003.697296292,27973569.404905528,30147584.02106924,99806899.416120321,48944125.405886866,49502842.523005709,31675138.688417595,158273304.5247753,64893710.051272854,50114976.767340071,15753827.055466184,2793662811.8642864,24371789.614465345,310563824.54152012,70684229.876409292,29529949.366804481,26504352.552773539,69977651.511797249,142088795.50656188,17131143.869819045,164693478.60507524,111420642.15851632,26687142.248608977,20420747.558206566,421058432.02717942,180334773.83065608,21616396.942440409,80934764.800739184,390751511.17407399
Ei,0.02,0.8,1,578271.0280373832,573422.1192819919,592105.2631578947,614285.7142857143,589761.9047619047,590811.4558472554,583274.4405182567,805263.1578947369,607918.9686924494,568158.34767642,590000.0,589642.8571428572,563139.9317406144,597525.6487628244,581818.1818181818,594736.8421052631,620000.0,573696.4078794902,585106.3829787234,629411.7647058824,650000.0,582352.9411764706,627272.7272727273,616666.6666666666,561076.4872521247,583962.2641509434,620000.0,604347.8260869565,590811.4558472554,579344.645991808,573971.0144927537,609090.9090909091,563253.6973833903,625000.0,614285.7142857143,620000.0,604347.8260869565,636363.6363636364,555300.0560852495,585917.1597633136,614285.7142857143,566475.9725400457,578901.2273524255,642857.1428571428,663157.8947368421,560554.6123372948,620000.0,622222.2222222222,609090.9090909091,575000.0
Tsafe,0.02,0.8,0.01,20,20,1734,21,1678,1695,21,1694,1594,1688,1732,1693,23,20,22,1655,20,1629,1765,1764,1715,1696,1688,24,25,1715,1731,1587,1663,19,21,1659,20,24,21,1717,23,22,20,22,21,19,1709,21,19,20,20,18,1678,1721
TR,0.02,0.8,0.01,60808929.9693546,14942267.389835363,183823520.60933319,47314011.335783914,42355632.839396372,66458563.903848298,43576448.527840883,101575851.48239794,820330284.78626227,1094469455.7142153,105200852.55315189,92575469.55703868,474951798.31854725,31211894.119616594,50378277.924322836,172610416.54764408,20313656.451446105,43080011.373540223,76340367.69006829,94472879.949763075,126419951.26797175,88818385.398106799,103838159.57604496,67254355.899572298,96223721.810569987,82611968.811943203,70370075.160183474,45362699.076319851,179537779.1480186,18512171.73818139,29544828.037168052,338263879.34795111,35578975.412284829,131364360.78346832,28614470.518600922,325661214.51491982,68514523.173283324,22063240.684257749,128370492.53706883,58931925.044362411,281768527.11864144,93191377.607989416,111607823.89154309,63922645.902116984,1620376099.1410723,18424558.476755217,123806581.31047508,24457577.559258562,122462936.56642327,459987196.62776601
Ei,0.02,0.8,0.01,560000.0,560000.0,571049.5963091119,690476.1904761905,590226.4600715137,584129.7935103244,585714.2857142857,584533.6481700118,621204.5169385194,586492.8909952607,571593.533487298,585528.6473715298,708695.6521739131,700000.0,609090.9090909091,598247.7341389728,730000.0,607796.1939840392,560963.1728045326,561337.8684807257,577317.7842565598,583844.3396226416,586492.8909952607,625000.0,644000.0,577317.7842565598,571981.5135759676,624007.5614366729,595730.6073361395,773684.2105263158,614285.7142857143,596805.3044002411,620000.0,650000.0,585714.2857142857,577111.2405358183,673913.0434782609,600000.0,610000.0,700000.0,642857.1428571428,563157.8947368421,579461.6734932709,642857.1428571428,626315.7894736842,590000.0,680000.0,600000.0,589988.0810488677,575537.4782103428
Tsafe,0.02,0.8,0.0001,1693,20,19,21,1618,1665,1637,1681,19,1724,1744,1674,23,1676,1744,19,20,1742,1736,17,1666,1701,22,24,1748,1731,1674,1628,19,1718,21,1644,1756,24,1700,1714,1579,22,1701,1678,1702,19,19,1669,1636,20,20,1667,1707,24
TR,0.02,0.8,0.0001,191233613.059769,18552474.111327816,14976628.051636344,72803784.554543018,55299606.539094791,61119686.625801854,65151458.209767811,83779723.879195556,113681467.08922671,1121421737.8905027,80578761.464824408,76927416.226458475,506597501.98150581,143529464.73143926,78330964.760900512,36531803.938568674,58218256.296216972,60860450.579722203,44641556.758319542,15832932.719941892,169965679.03919667,71384133.49390313,54057870.63428925,44530922.018439114,95676713.416861951,53788687.630265899,62969746.558888011,54972503.312294319,25003001.633559138,103777824.06319973,36004818.521856003,217330442.48186013,63334946.474573664,40267746.414441705,72998470.36406742,248624511.80747715,157677259.96813014,61942664.435966685,591621962.20489526,110505139.6355302,295343359.55564702,15046664.155523421,93290811.561742723,254962854.42016649,1571237883.8885219,39466281.602128141,48687206.542975619,126190461.7891528,134137977.31472997,20456414.761019379
Ei,0.02,0.8,0.0001,584937.9799173066,610000.0,694736.8421052631,585714.2857142857,612113.7206427689,594774.7747747748,604948.0757483201,589470.5532421177,710526.3157894737,574593.9675174014,567889.9082568807,591517.3237753883,656521.7391304348,590811.4558472554,567775.2293577981,647368.4210526316,650000.0,568541.9058553387,570506.9124423963,711764.7058823529,594357.7430972389,582186.9488536156,581818.1818181818,600000.0,566361.5560640732,572097.0537261699,591636.798088411,608722.3587223587,657894.7368421053,576251.4551804424,633333.3333333334,602433.0900243309,564009.1116173121,600000.0,582352.9411764706,577596.2660443407,627169.0943635212,736363.6363636364,582069.3709582598,590107.2705601907,581903.642773208,584210.5263157894,657894.7368421053,593229.4787297783,605378.9731051344,680000.0,650000.0,594061.1877624475,580023.4329232572,591666.6666666666
Tsafe,0.02,0.8,1e-06,1707,1692,19,21,22,1654,21,19,1621,1699,1700,19,23,1750,1754,19,20,1654,20,1737,1686,1664,1632,1676,1751,21,1730,1641,19,19,1719,1697,20,24,1693,20,1625,22,1790,22,1712,19,19,1677,1648,1735,1668,18,22,24
