duration,protocol_type,service,src_bytes,dst_bytes,flag,land,wrong_fragment,urgent,count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,srv_count,srv_serror_rate,srv_rerror_rate,srv_diff_host_rate,label
0,tcp,netbios_dgm,0,0,S0,0,0,0,157,1.0,0.0,0.04,0.09,6,1.0,0.0,0.0,neptune
0,tcp,private,0,0,S0,0,0,0,109,1.0,0.0,0.07,0.07,8,1.0,0.0,0.0,neptune
0,tcp,telnet,0,0,S0,0,0,0,13,1.0,0.0,0.62,0.15,8,1.0,0.0,0.0,neptune
0,tcp,private,0,0,REJ,0,0,0,260,0.0,1.0,0.05,0.06,12,0.0,1.0,0.0,neptune
0,tcp,netbios_dgm,0,0,S0,0,0,0,197,1.0,0.0,0.02,0.07,4,1.0,0.0,0.0,neptune
0,tcp,nntp,0,0,S0,0,0,0,129,1.0,0.0,0.02,0.07,3,1.0,0.0,0.0,neptune
0,tcp,http,0,0,REJ,0,0,0,149,0.0,1.0,0.04,0.06,6,0.0,1.0,0.0,neptune
0,tcp,echo,0,0,RSTO,0,0,0,265,0.0,1.0,0.06,0.06,17,0.0,1.0,0.0,neptune
0,tcp,courier,0,0,S0,0,0,0,20,1.0,0.0,0.25,0.15,5,1.0,0.0,0.0,neptune
0,tcp,Z39_50,0,0,REJ,0,0,0,160,0.0,1.0,0.12,0.06,19,0.0,1.0,0.0,neptune
0,tcp,csnet_ns,0,0,S0,0,0,0,284,1.0,0.0,0.07,0.06,19,1.0,0.0,0.0,neptune
0,tcp,whois,0,0,S0,0,0,0,102,1.0,0.0,0.02,0.07,2,1.0,0.0,0.0,neptune
0,tcp,private,0,0,REJ,0,0,0,23,0.0,1.0,0.17,0.13,4,0.0,1.0,0.0,neptune
0,tcp,private,0,0,REJ,0,0,0,253,0.0,1.0,0.04,0.07,9,0.0,1.0,0.0,neptune
0,tcp,uucp_path,0,0,S0,0,0,0,238,1.0,0.0,0.1,0.05,23,1.0,0.0,0.0,neptune
0,tcp,private,0,0,S0,0,0,0,215,1.0,0.0,0.03,0.07,7,1.0,0.0,0.0,neptune
0,tcp,private,0,0,REJ,0,0,0,113,0.0,1.0,0.14,0.06,16,0.0,1.0,0.0,neptune
0,tcp,http_443,0,0,S0,0,0,0,134,1.0,0.0,0.01,0.06,1,1.0,0.0,0.0,neptune
0,tcp,imap4,0,0,S0,0,0,0,211,1.0,0.0,0.11,0.06,23,1.0,0.0,0.0,neptune
0,tcp,netbios_dgm,0,0,S0,0,0,0,212,1.0,0.0,0.04,0.05,9,1.0,0.0,0.0,neptune
0,tcp,smtp,0,0,S0,0,0,0,2,1.0,0.0,1.0,0.0,4,0.5,0.0,0.75,neptune
0,tcp,domain,0,0,S0,0,0,0,110,1.0,0.0,0.18,0.05,20,1.0,0.0,0.0,neptune
0,tcp,imap4,0,0,REJ,0,0,0,279,0.0,1.0,0.04,0.06,11,0.0,1.0,0.0,neptune
0,tcp,efs,0,0,S0,0,0,0,127,1.0,0.0,0.15,0.06,19,1.0,0.0,0.0,neptune
0,tcp,private,0,0,S0,0,0,0,251,1.0,0.0,0.02,0.05,5,1.0,0.0,0.0,neptune
0,tcp,private,0,0,S0,0,0,0,279,1.0,0.0,0.08,0.05,22,1.0,0.0,0.0,neptune
0,tcp,private,0,0,S0,0,0,0,232,1.0,0.0,0.08,0.06,18,1.0,0.0,0.0,neptune
0,tcp,http,0,0,REJ,0,0,0,266,0.0,1.0,0.05,0.07,12,0.0,1.0,0.0,neptune
0,tcp,private,0,0,S0,0,0,0,206,1.0,0.0,0.01,0.07,2,1.0,0.0,0.0,neptune
0,tcp,systat,0,0,S0,0,0,0,206,1.0,0.0,0.1,0.06,21,1.0,0.0,0.0,neptune
0,tcp,supdup,0,0,S0,0,0,0,271,1.0,0.0,0.07,0.05,19,1.0,0.0,0.0,neptune
0,tcp,uucp,0,0,S0,0,0,0,128,1.0,0.0,0.03,0.06,4,1.0,0.0,0.0,neptune
0,tcp,sunrpc,0,0,S0,0,0,0,255,1.0,0.0,0.1,0.05,25,1.0,0.0,0.0,neptune
0,tcp,whois,0,0,S0,0,0,0,137,1.0,0.0,0.07,0.07,9,1.0,0.0,0.0,neptune
0,tcp,gopher,0,0,S0,0,0,0,236,1.0,0.0,0.01,0.07,3,1.0,0.0,0.0,neptune
0,tcp,domain,0,0,S0,0,0,0,247,1.0,0.0,0.0,0.07,1,1.0,0.0,0.0,neptune
0,tcp,whois,0,0,REJ,0,0,0,262,0.0,1.0,0.01,0.06,2,0.0,1.0,0.0,neptune
0,tcp,mtp,0,0,S0,0,0,0,222,1.0,0.0,0.0,0.06,1,1.0,0.0,0.0,neptune
0,tcp,courier,0,0,REJ,0,0,0,119,0.0,1.0,0.14,0.07,17,0.0,1.0,0.0,neptune
0,tcp,private,0,0,S0,0,0,0,158,1.0,0.0,0.08,0.05,13,1.0,0.0,0.0,neptune
0,tcp,supdup,0,0,S0,0,0,0,248,1.0,0.0,0.08,0.06,21,1.0,0.0,0.0,neptune
0,tcp,private,0,0,S0,0,0,0,141,1.0,0.0,0.04,0.06,5,1.0,0.0,0.0,neptune
0,tcp,uucp_path,0,0,S0,0,0,0,278,1.0,0.0,0.07,0.06,20,1.0,0.0,0.0,neptune
