duration,protocol_type,service,src_bytes,dst_bytes,flag,land,wrong_fragment,urgent,count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,srv_count,srv_serror_rate,srv_rerror_rate,srv_diff_host_rate,label
0,udp,domain_u,45,78,SF,0,0,0,161,0.0,0.0,1.0,0.0,161,0.0,0.0,0.0,normal
2474,udp,other,147,105,SF,0,0,0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,normal
0,tcp,http,329,306,SF,0,0,0,2,0.0,0.0,1.0,0.0,22,0.0,0.0,0.14,normal
0,udp,domain_u,42,42,SF,0,0,0,3,0.0,0.0,1.0,0.0,9,0.0,0.0,0.22,normal
25,tcp,smtp,1716,367,SF,0,0,0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,normal
0,tcp,smtp,559,389,SF,0,0,0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,normal
0,tcp,http,275,406,SF,0,0,0,24,0.0,0.0,1.0,0.0,24,0.0,0.0,0.0,normal
0,udp,domain_u,43,70,SF,0,0,0,196,0.0,0.0,0.99,0.01,196,0.0,0.0,0.01,normal
0,tcp,smtp,1008,333,SF,0,0,0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,normal
0,tcp,http,235,2698,SF,0,0,0,3,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,normal
0,tcp,ftp_data,1807,0,SF,0,0,0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,normal
0,tcp,ftp_data,175337,0,SF,0,0,0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,normal
0,udp,domain_u,43,43,SF,0,0,0,193,0.0,0.0,1.0,0.0,193,0.0,0.0,0.0,normal
0,tcp,http,329,754,SF,0,0,0,9,0.0,0.0,1.0,0.0,10,0.0,0.0,0.2,normal
0,tcp,ftp_data,7940,0,SF,0,0,0,9,0.0,0.0,1.0,0.0,9,0.0,0.0,0.0,normal
0,tcp,http,233,1651,SF,0,0,0,11,0.0,0.0,1.0,0.0,11,0.0,0.0,0.0,normal
0,tcp,ftp_data,641,0,SF,0,0,0,1,0.0,0.0,1.0,0.0,3,0.0,0.0,0.67,normal
1,tcp,telnet,0,15,RSTO,0,0,0,1,0.0,1.0,1.0,0.0,1,0.0,1.0,0.0,normal
0,udp,private,105,147,SF,0,0,0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,normal
0,udp,domain_u,45,136,SF,0,0,0,76,0.0,0.0,1.0,0.0,156,0.0,0.0,0.01,normal
0,tcp,http,334,342,SF,0,0,0,22,0.0,0.0,1.0,0.0,25,0.0,0.0,0.08,normal
0,tcp,finger,8,493,SF,0,0,0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,normal
0,udp,domain_u,44,73,SF,0,0,0,146,0.0,0.0,1.0,0.0,146,0.0,0.0,0.0,normal
0,tcp,http,226,9284,SF,0,0,0,19,0.0,0.0,1.0,0.0,19,0.0,0.0,0.0,normal
0,udp,domain_u,43,128,SF,0,0,0,125,0.0,0.0,1.0,0.0,125,0.0,0.0,0.0,normal
0,udp,domain_u,91,0,SF,0,0,0,1,0.0,0.0,1.0,0.0,2,0.0,0.0,1.0,normal
0,udp,domain_u,43,43,SF,0,0,0,78,0.0,0.0,1.0,0.0,158,0.0,0.0,0.01,normal
0,tcp,smtp,1399,328,SF,0,0,0,1,0.0,0.0,1.0,0.0,3,0.0,0.0,1.0,normal
1,tcp,smtp,1233,330,SF,0,0,0,2,0.0,0.0,0.5,1.0,5,0.0,0.0,1.0,normal
0,tcp,ftp_data,3888,0,SF,0,0,0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,normal
0,tcp,http,3745,4026,SF,0,0,0,19,0.0,0.0,1.0,0.0,19,0.0,0.0,0.0,normal
0,tcp,http,216,5604,SF,0,0,0,3,0.33,0.0,1.0,0.0,3,0.33,0.0,0.0,normal
0,tcp,http,198,6503,SF,0,0,0,4,0.0,0.0,1.0,0.0,10,0.0,0.0,0.2,normal
0,udp,domain_u,46,136,SF,0,0,0,16,0.0,0.0,1.0,0.0,51,0.0,0.0,0.04,normal
0,tcp,http,203,4341,SF,0,0,0,7,0.0,0.0,1.0,0.0,7,0.0,0.0,0.0,normal
0,tcp,smtp,817,327,SF,0,0,0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,normal
0,udp,domain_u,45,137,SF,0,0,0,169,0.0,0.0,0.99,0.01,246,0.0,0.0,0.01,normal
0,tcp,ftp_data,26408,0,SF,0,0,0,9,0.0,0.0,1.0,0.0,9,0.0,0.0,0.0,normal
0,udp,domain_u,43,107,SF,0,0,0,3,0.0,0.0,1.0,0.0,5,0.0,0.0,0.4,normal
15,tcp,smtp,1470,335,SF,0,0,0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,normal
0,tcp,ftp_data,245,0,SF,0,0,0,3,0.0,0.0,0.67,0.67,2,0.0,0.0,0.0,normal
0,udp,domain_u,46,135,SF,0,0,0,19,0.0,0.0,1.0,0.0,149,0.0,0.0,0.01,normal
0,tcp,http,221,1968,SF,0,0,0,5,0.0,0.0,1.0,0.0,5,0.0,0.0,0.0,normal
0,udp,domain_u,45,115,SF,0,0,0,190,0.0,0.0,1.0,0.0,190,0.0,0.0,0.0,normal
0,tcp,http,304,754,SF,0,0,0,11,0.0,0.0,1.0,0.0,12,0.0,0.0,0.17,normal
0,tcp,http,341,535,SF,0,0,0,21,0.0,0.0,1.0,0.0,26,0.0,0.0,0.19,normal
0,tcp,http,209,1482,SF,0,0,0,5,0.0,0.0,1.0,0.0,5,0.0,0.0,0.0,normal
0,tcp,http,223,10446,SF,0,0,0,6,0.0,0.0,1.0,0.0,7,0.14,0.0,0.29,normal
0,tcp,http,333,721,SF,0,0,0,5,0.0,0.0,1.0,0.0,5,0.0,0.0,0.0,normal
0,tcp,http,225,284,SF,0,0,0,18,0.0,0.0,1.0,0.0,22,0.0,0.0,0.18,normal
0,tcp,ftp_data,11,0,SF,0,0,0,2,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0,normal
0,tcp,http,172,2595,SF,0,0,0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,normal
29,tcp,ftp,1506,4152,SF,0,0,0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,normal
0,udp,domain_u,42,70,SF,0,0,0,169,0.0,0.0,1.0,0.0,169,0.0,0.0,0.0,normal
0,tcp,time,0,4,SF,0,0,0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,normal
0,tcp,http,252,11335,SF,0,0,0,1,0.0,0.0,1.0,0.0,3,0.0,0.0,1.0,normal
0,udp,domain_u,45,76,SF,0,0,0,268,0.0,0.0,1.0,0.0,272,0.0,0.0,0.01,normal
0,tcp,smtp,857,323,SF,0,0,0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,normal
0,tcp,http,300,1466,SF,0,0,0,44,0.02,0.0,1.0,0.0,46,0.02,0.0,0.07,normal
0,udp,domain_u,33,88,SF,0,0,0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,normal
0,tcp,http,0,0,REJ,0,0,0,1,0.0,1.0,1.0,0.0,1,0.0,1.0,0.0,normal
0,tcp,http,288,2001,SF,0,0,0,38,0.0,0.0,1.0,0.0,38,0.0,0.0,0.0,normal
0,tcp,ftp_data,9178,0,SF,0,0,0,8,0.0,0.0,1.0,0.0,8,0.0,0.0,0.0,normal
0,tcp,ftp_data,1830,0,SF,0,0,0,5,0.0,0.0,1.0,0.0,6,0.0,0.0,0.33,normal
0,tcp,http,215,1080,SF,0,0,0,5,0.0,0.0,1.0,0.0,5,0.0,0.0,0.0,normal
0,tcp,http,198,299,SF,0,0,0,4,0.0,0.0,1.0,0.0,14,0.0,0.0,0.36,normal
0,tcp,http,229,774,SF,0,0,0,24,0.0,0.0,1.0,0.0,40,0.0,0.0,0.08,normal
0,tcp,http,215,7587,SF,0,0,0,28,0.0,0.0,1.0,0.0,28,0.0,0.0,0.0,normal
0,tcp,http,322,1788,SF,0,0,0,13,0.0,0.0,1.0,0.0,17,0.0,0.0,0.12,normal
5,tcp,smtp,2632,336,SF,0,0,0,2,0.0,0.0,0.5,1.0,2,0.0,0.0,1.0,normal
1,tcp,smtp,1184,280,SF,0,0,0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,normal
0,tcp,http,279,2034,SF,0,0,0,3,0.0,0.0,1.0,0.0,5,0.0,0.0,0.4,normal
0,tcp,http,216,1240,SF,0,0,0,8,0.0,0.0,1.0,0.0,8,0.0,0.0,0.0,normal
1,tcp,smtp,1531,335,SF,0,0,0,1,0.0,0.0,1.0,0.0,2,0.0,0.0,1.0,normal
0,udp,domain_u,42,42,SF,0,0,0,8,0.0,0.0,1.0,0.0,9,0.0,0.0,0.22,normal
0,tcp,http,320,2265,SF,0,0,0,16,0.0,0.0,1.0,0.0,16,0.0,0.0,0.0,normal
2,tcp,ftp_data,2194619,0,SF,0,0,0,2,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0,normal
0,tcp,http,340,2431,SF,0,0,0,6,0.0,0.0,1.0,0.0,7,0.0,0.0,0.29,normal
1,tcp,smtp,6004,344,SF,0,0,0,1,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,normal
0,udp,private,105,146,SF,0,0,0,5,0.0,0.0,0.2,0.4,1,0.0,0.0,0.0,normal
0,tcp,http,231,1484,SF,0,0,0,3,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,normal
0,tcp,http,214,3477,SF,0,0,0,2,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0,normal
0,tcp,http,376,1494,SF,0,0,0,10,0.0,0.0,1.0,0.0,10,0.0,0.0,0.0,normal
