experiment_0,experiment_1,experiment_2,experiment_3,experiment_4,experiment_5,experiment_6,experiment_7,experiment_8,experiment_9
854,3724,2268,2656,5168,1392,1178,5852,2252,6374
6128,2196,3438,5810,2694,1492,1394,1478,5718,2806
10840,718,578,7680,1928,3584,996,6384,13148,8740
1284,4310,7368,1524,2690,5280,1230,4800,1266,1392
6106,2896,11470,6184,976,1660,682,4312,5170,1566
1964,3742,3138,906,2720,1358,4008,1840,2454,2142
18954,2446,1406,3952,1216,1568,8780,4196,5418,2548
454,2802,3228,1074,3728,1992,886,8714,1410,5312
6570,2190,1564,1030,2248,9468,2192,20236,2446,5238
6766,7434,10068,452,4652,566,2524,3314,1432,8272
4090,4014,11646,2798,3650,1736,1806,3326,1694,2806
1040,5968,1572,3878,5046,2510,6236,8014,3026,5472
1230,2028,12268,8096,2486,4124,4350,924,4376,8544
1526,3742,6828,6814,5448,6912,1298,2552,4050,3166
5082,1464,5222,15970,4954,2276,1722,4376,2696,11898
1258,2996,566,6424,1406,4148,876,9830,1908,2844
4308,3418,652,3156,8476,8970,3432,4332,9570,7112
4938,2432,6316,2552,1478,4666,2908,696,1688,2044
614,3668,1442,6958,4394,8716,4080,7884,788,3144
4272,2376,1002,9494,544,3184,3212,7644,9286,560
3394,4408,1660,1206,1652,3682,3736,2650,1938,4296
4188,1796,7522,3424,2328,1004,1480,1194,3780,2594
1322,8198,2688,3240,4990,2398,2638,4510,3388,3506
10578,3516,5690,1002,9396,1440,3078,2156,1380,1038
2810,1602,1376,534,2384,7710,1078,16510,6308,16674
1854,1356,8694,576,1512,10500,1546,2614,1286,1248
1258,2388,1408,1080,3320,6976,3168,4140,1608,2922
3584,6508,1964,2280,1562,3398,1792,3014,2760,14106
4522,4160,4058,5210,11870,970,6742,2568,2426,1136
880,972,778,6162,3240,6676,1402,8464,450,438
3282,2972,3328,2992,2102,2988,3726,2532,1652,846
2284,1262,764,398,3394,8958,3914,5554,2270,354
2068,8978,10698,4138,1748,8546,2930,4154,4868,10914
2602,2126,2412,618,6940,1840,3446,2350,1274,1524
1434,1132,3798,1556,9004,1860,814,13546,482,4048
2184,5494,6524,784,6826,1682,1236,6042,8104,2686
2554,5952,1210,6872,2526,1490,4044,4012,4174,8162
3034,1962,2194,1768,792,4092,1274,3434,1428,750
2156,1134,618,4594,4502,3058,11478,1396,1288,1114
1186,1588,2054,6834,626,2138,2432,2728,4272,13208
2736,4288,918,5780,1912,11806,936,2144,614,2720
916,3140,3218,8960,1696,6478,1124,7316,8588,5892
1990,4996,4498,3518,7180,510,2234,7144,1458,1218
1612,3296,1302,6230,5140,830,8558,6416,3072,1596
5056,6790,912,2054,6370,600,524,3060,2066,5376
2896,5610,1778,11286,4816,5080,3708,13510,5228,9514
4300,2854,4178,1558,1026,5088,1920,726,4166,368
1816,3566,368,1620,1234,4164,2218,9848,1414,3044
6960,2198,2714,3602,440,3078,3288,2444,1290,4300
3236,1994,878,1266,4638,3580,3692,7276,2358,6978
4804,9020,2930,948,5230,914,2462,1506,4762,6454
1258,1494,1418,14844,7278,4980,1758,3252,890,2034
584,8990,1400,6476,2404,1424,1514,816,808,2458
1800,4366,564,2516,3862,1158,672,6330,3516,2292
348,3334,1102,3380,3112,1136,3884,2820,442,1492
2690,2116,2824,1732,470,2478,416,2492,1466,2926
776,1468,1650,3656,2538,916,2726,4464,788,7158
914,1932,2460,10626,542,2110,4738,574,782,9134
2900,676,3048,8262,512,1890,2308,1584,868,3082
290,1762,1064,3238,1498,4714,2604,298,1752,722
526,8362,1616,388,5524,5056,7006,5206,1784,6312
610,7184,1184,6518,552,1228,2094,1294,990,6166
1866,8140,1170,1760,4232,812,432,5322,2294,406
830,718,672,3606,368,1396,1474,798,1824,2888
552,7158,1600,12578,328,580,746,522,818,1840
1314,2084,2370,3814,984,1342,2544,774,1302,8746
1622,11400,774,5200,1058,5922,246,1662,194,3072
1916,708,1528,3228,794,1628,1796,616,3846,3000
1384,626,1354,2654,2282,6922,1510,1046,1310,1562
1592,1288,1960,3574,676,2562,8590,1180,408,1902
2890,3846,1356,3526,3236,2202,618,2572,1252,2590
1884,920,2630,11692,430,1250,2596,1522,508,1134
3920,6106,2720,948,1498,1836,564,2962,1788,2292
5972,3818,686,708,1888,1728,726,2886,482,4914
1788,15792,1560,6368,1456,4992,1548,4766,1656,1248
1222,2190,1190,4834,1292,626,556,1888,6394,6890
2342,2048,2524,1476,2594,1476,1610,2298,506,5090
350,386,1244,5448,1336,2438,734,3022,984,3262
1828,11616,632,7802,3702,1930,936,1530,514,3760
3204,3374,1210,4334,184,230,1838,1790,742,1998
1992,1828,4342,3862,1686,4480,2200,696,2300,2184
1402,4256,1198,1102,1630,2224,3094,2296,1644,1332
932,2222,458,3130,2454,644,1158,1394,960,1480
808,1126,402,4400,3946,2786,2524,732,3320,632
1674,1192,352,2132,5878,742,1124,2426,1170,1730
924,8022,2728,2600,468,522,1496,1530,990,2822
4272,6224,798,1396,784,3944,1256,2470,1956,594
4346,1704,1636,3950,2294,504,1110,1170,674,6572
518,4628,960,1562,1216,638,1928,708,1364,732
706,3198,1454,2070,340,1096,3844,1472,680,4902
1084,6304,610,2326,3352,280,1756,652,950,4182
738,1514,1980,990,674,3888,1168,1168,3410,1644
584,362,388,1126,532,506,1404,1800,1812,1120
1034,2362,724,720,1142,940,2588,2510,1008,436
756,7762,358,1956,408,2588,428,926,746,1672
1602,2872,1456,5508,490,1828,2386,1492,1834,1658
1978,2752,1038,1900,1696,3292,2494,3608,1686,2122
772,1810,1030,802,2854,802,900,1502,3586,864
1442,652,578,844,1932,1818,2620,2520,382,892
778,5448,1162,1976,434,2826,1462,502,3150,1086
3700,2442,1990,1042,2532,1354,684,1552,1666,3070
1538,2022,1608,1182,5470,832,1090,1628,576,1214
2042,5050,704,992,2382,456,616,1462,644,812
4154,3430,1282,1554,2550,1674,428,3076,212,864
3860,1774,2048,2344,2960,410,2172,1810,3030,292
1136,2232,1372,3878,4754,2646,1100,458,586,1414
3616,1852,1212,3028,1546,1648,702,2382,418,3386
1070,1612,746,4680,1362,1662,2116,864,666,406
2546,1120,1702,2272,2038,232,1442,5384,968,2836
6638,2562,456,368,1238,2110,1402,1840,1290,1170
1166,3950,286,1692,2546,172,1062,1384,1648,3658
596,910,740,1714,7792,808,1850,1550,3944,3260
1314,1836,1602,2432,1574,1060,3542,720,382,1808
930,2720,1306,606,5866,1282,1022,3304,742,2162
3204,2446,1530,1142,534,3046,744,1262,2460,3006
1008,2286,522,1680,476,776,1114,1986,744,728
218,2044,806,444,2702,2558,1796,534,842,1450
2102,1728,346,2034,398,2094,1368,964,544,1986
708,996,1060,632,396,1912,564,1006,660,3628
1074,1174,542,420,300,1622,710,672,636,2470
1286,2694,1020,1386,2758,290,2198,888,272,2212
778,3762,1074,468,898,2636,698,418,1194,1100
2278,1014,502,810,6030,910,1638,800,1542,2800
1606,1740,2490,412,1388,334,1338,832,394,886
884,1600,642,1676,1728,2260,1792,692,618,908
1262,636,520,4326,904,1030,468,1074,928,1260
356,1216,444,312,4822,1434,580,1588,756,1132
646,700,806,1274,1036,868,2362,626,1588,2512
464,1348,2402,4364,1172,1746,3042,1458,592,924
558,1056,274,1394,2116,882,700,634,936,398
1280,2214,1896,354,256,1266,2930,666,920,2414
1172,1772,412,530,1722,2412,1516,1286,654,2918
606,604,292,684,1168,2428,980,1632,1676,572
616,1080,646,1478,3560,1338,1268,3616,516,434
838,2194,250,848,1004,794,994,2552,784,806
698,1650,482,640,590,3026,612,1338,1890,2292
618,1732,1244,612,720,1820,1630,1288,1960,400
642,1536,1040,1980,696,1906,858,1886,1422,444
1076,1362,494,960,788,2224,2572,1030,972,2202
1188,554,304,1054,6174,3932,286,338,1338,1682
804,1122,504,1476,714,1480,1084,1084,664,2658
1240,1778,650,2618,436,2682,4736,3300,1384,4852
772,3982,340,2024,922,3258,942,864,910,1734
570,970,896,446,484,1022,548,916,354,1554
458,1006,274,738,1300,2080,1738,1496,454,632
860,1430,306,614,942,3030,3002,698,778,2070
540,1688,452,1058,3666,1100,1344,596,678,2036
374,872,386,702,778,2200,606,578,406,3336
1188,508,258,794,2178,366,8060,262,484,4156
648,1042,518,748,258,486,2988,1240,576,802
486,1198,500,2162,1908,2426,938,772,1062,4884
508,5190,336,654,388,1468,1524,300,318,1624
442,3428,766,810,1880,3006,2968,3212,1014,808
350,1086,516,750,3318,3906,1122,668,1024,3994
518,650,462,496,822,1522,1406,662,1666,2686
1260,930,788,442,1300,508,1136,542,1238,2824
594,1450,210,1116,1252,1584,854,2176,840,514
752,880,454,2238,616,1624,4256,592,936,680
726,1036,272,280,198,562,1758,1646,550,318
304,2084,340,642,1360,2950,414,634,466,1116
428,1104,518,1456,1862,2222,1704,592,488,1368
292,4980,198,1026,1456,798,2040,670,226,866
528,542,406,1804,1314,752,1560,510,260,1908
972,5456,588,1144,1532,350,1062,2534,580,288
702,1326,194,828,206,1884,3732,2328,846,1226
520,634,266,1990,1034,460,458,812,538,772
336,2168,244,478,1516,796,1802,548,338,604
518,1066,338,334,854,578,1930,824,536,442
200,1562,288,2816,504,1098,1104,2886,320,742
626,3898,288,2148,476,1874,3706,1828,538,506
604,834,220,1770,1668,1432,7886,336,292,904
766,1792,366,490,1234,808,2374,732,178,740
558,492,294,2076,318,286,724,752,246,594
270,1296,200,436,304,3118,862,750,244,1046
480,710,184,868,1096,728,752,1208,538,458
320,1534,320,1736,430,1050,2546,1972,378,342
258,686,246,714,336,780,2058,2328,300,540
594,888,472,376,440,258,852,580,560,264
332,832,584,504,1294,1062,766,3314,290,778
294,898,182,846,722,184,462,982,680,1054
280,678,356,756,316,586,542,504,418,532
